relative_path,sha256,size_bytes,problem,adaptive_rho,alpha_mode,selection,epoch,validation_mean_iterations,validation_mean_rho_updates,batch_size,n_train,n_val,n_epochs,stage_length,alpha_min,alpha_max,hidden_dim,n_layers,dtype,precision,feature_normalization
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_lasso_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,14a34729c4ef3d8024e29db3f83f2283a72c0cf3a17a76b9da8335e5c40f6801,48719,lasso,True,scalar,best_rho,564,150.375,0.0,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_lasso_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,960590ffb20ad20f6170755af07cd96f431f2aa17d7a08e16019694502eec514,52205,lasso,True,vector,best_iter,1,89.875,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_lasso_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,4ab2018b775272315ce97db51956bd41409d0e9ed09ffb482fb005bb339cb300,52431,lasso,True,vector,best_rho,195,149.0,0.0,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=False_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,723ee5e8b634e80579dd11a13240ffff0db9c7450e954c99639d43eda85ec3a1,48583,portfolio,False,scalar,best_iter,835,352.125,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=False_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,9a55f8f8506c950ca29465a9656c2d86de492382c6779f6e4040911a1d0232fa,52295,portfolio,False,vector,best_iter,566,350.375,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,2cae7a731d0f5cef2ed90e355dc4ff6e98866098a54dd824236e98437bd1dd40,48565,portfolio,True,scalar,best_iter,24,165.875,,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,60809301b18337abcf676d86482492e4965f32b35dfd56eeca445c30318b2a19,48791,portfolio,True,scalar,best_rho,670,261.375,0.9625,10,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,ac35de2d771c65480fb7b2c98beff6685214f471eef9fe9f4aeb59a2d59f7b21,52277,portfolio,True,vector,best_iter,72,180.875,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_portfolio_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,8cc0f08c29d111386c873b6673e8d3d785a859971097f725c0015d644896e72a,52503,portfolio,True,vector,best_rho,767,299.0,0.55,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=False_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,c7cea072af1bcff3dd4360ab940e5433e0ceb37d17db505c63b66daac0faa2c8,48583,random_qp,False,scalar,best_iter,234,500.375,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=False_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,67d689711ae72ad76f8945da918a79491273ecea39fc20d8a3fdcbf18c8f2bf6,52295,random_qp,False,vector,best_iter,737,496.375,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,ab6cfb211c906ccb0d41f187f5ea3d4f8ff4ee50cd9f75b41eace7d97f3dab3f,48565,random_qp,True,scalar,best_iter,326,479.5,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,d4799526bed91ae3b81f896cbdaab22fade041f230e1ac3ed14dfd8baa9ec512,48791,random_qp,True,scalar,best_rho,326,479.5,0.0875,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,a1c6fb1271027e6e43790413a6186612c3ec112573a145246704e952463c1926,52277,random_qp,True,vector,best_iter,287,492.0,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_random_qp_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,fd0b84840aa3746c376de08e65ebb3fcdaad24ca1a37b2bc1aa1e91ca7c6dbb8,52503,random_qp,True,vector,best_rho,585,492.875,0.0375,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=False_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,5d98d782dc5009a0e16450a473d040b42adfa4e1b764676e275b72bb040a7561,48475,svm,False,scalar,best_iter,372,470.5,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=False_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,543cb3032cabfde03c5f57b4d0046ec21805390a541403876b8bd73feb6a63ac,52187,svm,False,vector,best_iter,394,463.75,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence.pt,921dec52107b5aaa84488b44cec08343d3a82abc3b47df710f6c49cb0414c4cd,48457,svm,True,scalar,best_iter,10,205.875,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=True_alpha_mode=scalar_model_type=mlp_loss=log_convergence_best_rho.pt,46251ab504f4460c2d35ffd8c01ecc89cf75deb9b4180567613dfb4f7e5d3257,48683,svm,True,scalar,best_rho,636,319.875,0.925,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence.pt,c18e9c90af42bf5bfc2056d157d281351b41139246908c3670a254b1477e8fc5,52169,svm,True,vector,best_iter,12,207.0,,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
learned_osqp/checkpoints_arc/0324_feat_unscaled_alpha_1.25_1.95_loss_softplus/best_model_svm_precision=low_adaptive_rho=True_alpha_mode=vector_model_type=mlp_loss=log_convergence_best_rho.pt,adee8040726253184ec1fa42c3dffdcdba13463814dd19b2cad385d2b2cd4a1a,52395,svm,True,vector,best_rho,142,225.0,0.9875,16,160,80,1000,10,1.25,1.95,64,3,float64,low,True
